slug,name,symbol,category,tvl,chains
desk-clob,DESK CLOB,-,Interface,11998.00469059608,Arbitrum
dungeonswap,DungeonSwap,DND,Yield,11996.479929039215,Binance
duckswap,DuckSwap,-,Dexs,11994.583341552267,DuckChain
sperax-demeter,Sperax Demeter,SPA,Farm,11930.374399801462,Arbitrum
eaglefi,EagleFi,-,Dexs,11888.962459691367,Massa
hopswap,HopSwap,HOP,Dexs,11886.616598814035,Cronos
etha-lend,ETHA Lend,ETHA,Yield,11866.393659425828,Polygon;Avalanche
monroe-protocol,Monroe Protocol,-,CDP,11810.497203016002,Avalanche;Manta;Ethereum
goatxtech,GoatxTech,-,Services,11807.297868692316,Arbitrum
bomb-finance,Bomb Finance,BOMB,Dexs,11786.299342180988,Fantom
peerme,PeerMe,SUPER,Services,11780.267789663401,Elrond
polaris-finance,Polaris Finance,POLAR,Dexs,11728.901060075363,Aurora;Telos
rivera-money,Rivera Money,-,Liquidity manager,11646.676803359338,Manta;Degen;Arbitrum;Mantle;Telos;CORE;Polygon;BSquared
spacewhale,SpaceWhale,-,Derivatives,11641.87938326292,Arbitrum
chat3,Chat3,-,SoFi,11619.797330807256,Mantle
synstation,SynStation,-,Prediction Market,11601.526833429816,Soneium;Ethereum;Astar
unlockd-v1,Unlockd V1,-,Lending,11568.859232115597,Ethereum
newland,Newland,-,Yield,11523.579632814377,Ethereum;Heco
globiance,Globiance,GBEX,Dexs,11469.705126273293,XDC
moraswap-v2,Moraswap V2,-,Dexs,11466.45600240029,Neon
glacier-exchange-v2,Glacier Exchange V2,GLCR,Dexs,11445.213242210028,Avalanche
lendle-yield,Lendle Yield,LEND,Yield,11342.228209299561,Mantle
kuu-finance,Kuu Finance,-,Dexs,11300.58012866533,Avalanche
lootswap,LootSwap,LOOT,Dexs,11261.70531943979,Harmony
key-finance,Key Finance,MPkey,Yield,11254.441404561794,Arbitrum
monox,MonoX,MONO,Dexs,11168.732287329285,Polygon;Ethereum
spectrum-protocol,Spectrum Protocol,SPEC,Yield,11158.978072972694,Terra2;Terra
dego-finance,Dego Finance,DEGO,Services,11148.963892375023,Ethereum
orcadao,OrcaDAO,ORCA,Lending,11144.531931393198,Avalanche
glyph-v2,Glyph V2,-,Dexs,11125.570441703145,CORE
pulsar-swap,Pulsar Swap,-,Dexs,11115.381405704888,Ethereum;Mantle;Arbitrum
shadecash,ShadeCash,SHADE,Privacy,11093.24997546608,Fantom
lobster-protocol,Lobster Protocol,-,Yield Aggregator,11035.964734057665,Arbitrum
renec-lend,Renec Lend,REL,Lending,11031.95403249613,Solana;RENEC
tonnel-network,Tonnel Network,TONNEL,Privacy,11026.981258454682,TON
polyshield,PolyShield,SHI3LD,Yield,11016.581221218208,Polygon
penumbra-dex,Penumbra Dex,-,Dexs,10999.3843775574,Penumbra
flux,Flux,-,CDP,10945.002749846233,Radix
apollodao,ApolloDAO,APOLLO,Yield,10940.345815879908,Neutron;Osmosis;Terra
lendexe-finance,LendeXe Finance,LEXE,Lending,10939.566351479292,Ethereum
stormswap,StormSwap,STORM,Yield,10934.604402506715,Avalanche;Cronos
metavault-v3,Metavault V3,MVX,Dexs,10893.990094742914,Linea;Scroll
amped-finance,Amped Finance,AMPED,Derivatives,10892.003153562848,Sonic;Superseed;Base;LightLink;Binance;Berachain
alkimiya,Alkimiya,-,Derivatives,10880.87073971576,Base
manga-fi,Manga FI,HONO,Yield,10833.104561328164,Ethereum
methlab,MethLab,-,Lending,10791.970196597937,Mantle
spice-trade,Spice Trade,SPICE,Algo-Stables,10740.293495673219,Binance;Avalanche;Polygon;Ethereum
pryzm-protocol,Pryzm Protocol,-,Yield,10717.10941171237,Pryzm
cswap,cSwap,-,Dexs,10691.212669678389,Comdex
pandora,Pandora,PSR,Dexs,10637.040568837187,Binance
mm-finance-arbitrum-v3,MM Finance Arbitrum V3,-,Dexs,10634.909697893941,Arbitrum
sterling-finance,Sterling Finance,STR,Dexs,10571.779021883904,Arbitrum
graphene-by-velocimeter,Graphene by Velocimeter,-,Dexs,10559.383878982386,Base;IOTA EVM;Mantle;Fantom
gullnetwork-service,GullNetwork Service,GULL,Farm,10533.21018972631,Manta;Binance;Ethereum;Base
tifi,TiFi,TIFI,Dexs,10529.370643800878,Binance
asymetrix-protocol,Asymetrix Protocol,ASX,Yield,10525.998465417828,Ethereum
velocimeter-v4,Velocimeter V4,-,Dexs,10416.247704042993,IOTA EVM
blastdex,BlastDEX,BD,Dexs,10398.665181054477,Blast
liquix,LiquiX,-,Liquidity manager,10390.43294695776,Blast;Arbitrum;Optimism;Polygon
vortex-protocol,Vortex Protocol,SMAK,Dexs,10376.98204091912,Tezos
solisnek-finance,SoliSnek Finance,SNEK,Dexs,10362.558742650319,Avalanche
swapsicle-v2,Swapsicle V2,SLUSH,Dexs,10327.110663773392,Mantle;Telos;Taiko
kumbaya,Kumbaya,-,Dexs,10248.952742445525,MegaETH
daoventures,DAOventures,DVD,Yield,10243.545298487597,Ethereum
nexus-portal,Nexus Portal,NEXU,Dexs,10240.930204635602,XDC
hedgey,Hedgey,-,Payments,10232.68187526314,Polygon;Mode;Binance;Ethereum;Arbitrum;Base;Avalanche;zkSync Era;Linea;Berachain;Optimism
lander,Lander,-,Lending,10226.892565217457,Binance
mantra-dao,MANTRA DAO,OM,Lending,10177.777706091589,Ethereum;Binance;Polygon
symblox,Symblox,SYX,Synthetics,10172.788487846039,Velas
baptswap-v2.1,BaptSwap V2.1,-,Dexs,10135.451359806915,Aptos
coffee-dex,Coffee Dex,-,Dexs,10127.1595236924,Arbitrum;Scroll
molend,Molend,-,Lending,10119.11168778685,Mode
archon-bridge,Archon Bridge,-,Bridge,10106.627979817815,Avalanche;Ethereum;Horizen EON
bagels-finance,Bagels Finance,BAGEL,Yield,10096.99178598521,Binance
beefstake,BeefStake,-,Yield,10059.582075721108,Vite
paintswap-on-fantom,PaintSwap on Fantom,BRUSH,Dexs,10041.864716224864,Fantom
zkera-finance,zkEra Finance,ZKE,Derivatives,10030.45003434771,zkSync Era;Telos;Metis
wild-credit,Wild Credit,WILD,Lending,10003.664450354854,Ethereum
lemma,Lemma,-,Derivatives,9966.724234659483,Optimism
lumen-money,Lumen Money,-,Lending,9950.594557397715,Neon
zkusd,zkUSD,-,CDP,9943.865500720189,Linea;Neon
crafting-finance,Crafting Finance,CRF,Synthetics,9923.286579189271,Aurora;Ethereum
llamarisk,LlamaRisk,-,Risk Curators,9918.149666239919,Ethereum
eclipsefi,EclipseFi,ECLIP,Launchpad,9894.066178394336,Neutron
router-protocol,Router Protocol,ROUTE,Cross Chain Bridge,9892.94854155323,Aurora;Binance;Polygon;Optimism;Ethereum;Arbitrum;Avalanche;Harmony;Kava;Cronos;Fantom
jaceswap,JaceSwap,JACE,Dexs,9883.26516257027,X Layer
dddx,DDDX,DDDX,Dexs,9856.43784822221,Binance
milkyway-rollup-bridge,Milkyway Rollup Bridge,-,Canonical Bridge,9843.869908970011,Initia
liquid-finance-protocol,Liquid Finance Protocol,-,Liquid Staking,9795.80628671021,Archway
spin-perps,Spin Perps,-,Derivatives,9788.420992252688,Near
ceto-swap,Ceto Swap,CETO,Dexs,9765.820648575414,Manta
apebond-staking,ApeBond Staking,ABOND,Farm,9754.726361713092,Binance;Ethereum;Polygon
baso-finance,Baso Finance,BASO,Dexs,9727.96343480508,Base
vinuswap,VinuSwap,VC,Dexs,9720.854370630002,VinuChain
spartan,Spartan,SPARTA,Dexs,9672.264352781267,Binance
wasabee,Wasabee,-,Dexs,9661.411251110621,Berachain
miningtycoon,MiningTycoon,NT,Gaming,9619.510432458546,Binance;Heco
bonsai-strike,Bonsai Strike,-,Options Vault,9539.267681973879,Binance
open-dollar,Open Dollar,ODG,CDP,9525.942937883428,Arbitrum
woofswap-gatelayer,WoofSwap GateLayer,WOOF,Dexs,9520.482616965948,GateLayer
iotabee,Iotabee,-,Dexs,9519.514699677704,ShimmerEVM
mymetatrader,MyMetaTrader,MMT,Derivatives,9504.423785571538,Arbitrum
oas-jumbo,OAS Jumbo,-,Farm,9500.870062011028,Oasys
amphora,Amphora,AMPH,Lending,9496.192708547662,Ethereum
banksy-farm,Banksy Farm,BANKSY,Yield,9427.049774218269,Avalanche
tigris,Tigris,TIG,Derivatives,9412.61926049734,Polygon;Arbitrum
q-borrowing,Q Borrowing,-,Lending,9381.006904072081,Q Protocol
3a-dao,3A DAO,A3A,CDP,9379.554551288715,Linea;Polygon
nxfi-protocol,NxFi Protocol,-,Lending,9359.443098871177,Solana
sypher-finance,Sypher Finance,SYP,Derivatives,9323.829182147432,Base
eddyfinance-v3,EddyFinance V3,-,Dexs,9314.150887248616,ZetaChain
d8x,D8X,D8X,Derivatives,9296.795590174206,Berachain;Arbitrum;Base;X Layer;Polygon zkEVM
popsicle-finance,Popsicle Finance,ICE,Liquidity manager,9232.136399468356,Polygon;Fantom;Ethereum;Binance
mytrade,MyTrade,MYT,Dexs,9211.814911557622,Polygon;Moonbeam
scroll-swap,Scroll Swap,-,Dexs,9182.426768082256,Scroll
rbx,RBX,RBX,Dexs,9093.28076763365,Binance;Ethereum
houstonswap,HoustonSwap,HOU,Dexs,9073.11389831161,Aptos
chee-finance,Chee Finance,-,Lending,9072.193968252406,Celo;Binance;Meter
huckleberry-lending,Huckleberry Lending,FINN,Lending,9048.962605832063,Moonriver
zoodao,ZooDAO,ZOO,Yield,9023.983594105799,Moonbeam;Arbitrum
embr-finance,Embr Finance,EMBR,Dexs,9022.650042760106,Avalanche
desyn-safe,DeSyn Safe,-,Farm,9010.024048668034,zkLink;Merlin;Bitlayer;Arbitrum;Mode;CORE;AILayer;BSquared;Hemi;Binance;Goat;Plume Mainnet;Linea;Scroll;exSat;HashKey Chain
volta-finance,Volta Finance,VOLTA,CDP,8997.749554416354,Arbitrum
narbet,NarBet,-,Luck Games,8997.039931632145,Monad
ebisu-v1,Ebisu V1,-,CDP,8979.952798063634,Mode;Ethereum
gin-finance,Gin Finance,GIN,Dexs,8972.458895217484,Boba
whitehole-finance,Whitehole Finance,GRV,Lending,8967.848960247684,Arbitrum
levvy-for-nfts,Levvy for NFTs,-,NFT Lending,8957.237738994922,Cardano
smartdex,SmartDEX,-,Dexs,8951.524315962639,Polygon
pangea-swap,Pangea Swap,STONE,Dexs,8836.883033122898,Klaytn
darkness,Darkness,NESS,Dexs,8775.840563065603,Cronos
matrix-farm,Matrix Farm,-,Yield Aggregator,8755.977742391702,Base;Optimism;Fantom;Arbitrum;Binance;Dogechain
arbirise-finance,ArbiRise Finance,ARF,Yield,8734.474899972443,Arbitrum
ghostex,GhostEx,-,Dexs,8723.202212331606,Blast
caviar-v2,Caviar V2,-,NFT Marketplace,8702.630414475365,Ethereum
croswap,CroSwap,CROS,Dexs,8664.156717857553,Cronos;Arbitrum
bishares,BiShares,BISON,Indexes,8624.309702689952,Binance;Fantom
nuri-legacy,Nuri Legacy,NURI,Dexs,8595.430513937354,Scroll
pixelswap-(pix),PixelSwap (PIX),-,Dexs,8578.523996649943,TON
parallax,Parallax,PLX,Yield Aggregator,8576.69496698234,Arbitrum;zkSync Era;Ethereum
magik-farm,Magik Farm,MAGIK,Yield Aggregator,8568.996707160435,Avalanche;Cronos;Binance;Fantom;Dogechain;Aurora;Polygon;Heco;Arbitrum;Harmony;Moonriver;Celo
legacy-canary-protocol,Legacy Canary Protocol,-,Yield Aggregator,8543.028760002428,Plume Mainnet
whiteheart,Whiteheart,WHITE,Options,8537.182370251458,Ethereum
liquid-agents,Liquid Agents,-,Liquid Staking,8475.369558293383,Sui
dfs-v3,DFS V3,-,Dexs,8439.314727895853,X Layer
dracula-finance,Dracula Finance,FANG,Dexs,8420.26971423312,zkSync Era
polydex-cryption-network,PolyDEX-Cryption Network,CNT,Dexs,8419.680153090363,Polygon
mars-perps,Mars Perps,MARS,Derivatives,8400.14526139153,Neutron
alligator,Alligator,GTR,Dexs,8385.383029567452,Avalanche
genius-yield,Genius Yield,GENS,Dexs,8304.01798371591,Cardano
rexdex,RexDex,REX,Dexs,8298.10454675874,Wanchain
diamond-protocol-v2,Diamond Protocol V2,-,Liquidity manager,8280.228466207083,Arbitrum;Binance
beratrax,BeraTrax,-,Yield Aggregator,8278.169419099375,Berachain
cyberblast-v3,Cyberblast V3,CBR,Dexs,8259.737264938729,Blast
weero-v2,Weero V2,-,Dexs,8230.58376828779,Klaytn
munchables-v2,Munchables V2,-,Farm,8203.62269541764,Blast
h2odata,H2Odata,PSDN,CDP,8143.369633432091,Ethereum
sweep,Sweep,SWEEPR,RWA,8133.528342961992,Ethereum;Arbitrum;Base;Polygon;Avalanche;Optimism;Binance
hypertrade-v3,Hypertrade V3,-,Dexs,8132.483746669423,Hyperliquid L1
moonmace,Moonmace,-,Liquid Staking,8116.456995788847,Monad
tagdottech,TagDotTech,-,SoFi,8025.05675978245,Base
fourdex,FourDex,FDEX,Dexs,7992.88085820611,Op_Bnb
morpheus-swap,Morpheus Swap,PILLS,Dexs,7985.77705850555,Fantom
coincollect,CoinCollect,COLLECT,Dexs,7912.743454725561,Polygon
agora,Agora,AGORA,Lending,7909.855089755016,Metis
sparkdex-v3,SparkDEX V3,SPRK,Dexs,7896.636273529589,Flare
atrofarm,Atrofarm,Atrofa,Farm,7889.972897741034,Pulse
amaterasu-finance,Amaterasu Finance,IZA,Dexs,7779.845050530012,Aurora
shoebill-v1,Shoebill V1,-,Lending,7743.4338958236385,Klaytn;Kava
lore-finance,Lore Finance,LORE,Lending,7714.764893945715,Scroll
smardex-p2p-lending,SMARDEX P2P Lending,-,Lending,7688.679494415864,Ethereum;Polygon;Base;Arbitrum;Binance
hector-lending,Hector Lending,HEC,Lending,7668.2948913431355,Fantom
momodrome,Momodrome,-,Dexs,7610.021989616051,Morph
indx,INDX,-,Indexes,7607.166911676729,Base
dino.exchange,Dino.Exchange,DINO,Dexs,7578.05143348971,Binance
sirius-finance,Sirius Finance,SRS,Dexs,7547.289368044697,Astar
moremoney,Moremoney,MORE,Lending,7544.580885047594,Avalanche
auragi-finance,Auragi Finance,AGI,Dexs,7529.635744190889,Arbitrum
cypher-v2,Cypher V2,-,Dexs,7515.220771631904,Ethereum
lodestar-v0,Lodestar V0,LODE,Lending,7502.1629822007235,Arbitrum
frensly,Frensly,-,SoFi,7500.829477791802,Base
mozaic,Mozaic,MOZ,Yield,7499.320754352365,Arbitrum;Avalanche;Fantom;Polygon;Binance;Kava
dogswap,DogSwap,-,Dexs,7494.536909801603,Shibarium
solidlizard-lending,SolidLizard Lending,SCALES,Lending,7492.671896301444,Arbitrum
sanko-gamecorp,Sanko GameCorp,-,SoFi,7488.375970306466,Arbitrum
ruscet,Ruscet,-,Derivatives,7455.397813863871,Fuel
satoshi-perps,SATOSHI PERPS,-,Derivatives,7434.391817798347,CORE
simps,Simps,SIMP,SoFi,7432.013850475997,Base
nexton,Nexton,-,Basis Trading,7406.385277761019,TON
antex,Antex,ANTEX,Launchpad,7398.6986214345325,Binance
pepedex,PepeDex,PPDEX,Gaming,7383.735797629769,Ethereum
symmetry-trade,Symmetry Trade,-,Derivatives,7376.446626317807,Scroll
brokkr-finance,Brokkr Finance,BRO,Indexes,7372.969935444434,Avalanche;Arbitrum
reyield-finance,REYIELD Finance,-,Liquidity manager,7371.355317514843,Polygon;Optimism
nord-finance,Nord Finance,NORD,Yield Aggregator,7346.875130583794,Ethereum;Avalanche;Polygon
metatdex,MetaTdex,TT,Dexs,7319.327624327856,Binance;Polygon;Heco
bnbminer-finance,BNBMiner Finance,-,Ponzi,7264.1099033080945,Binance
dtx-dex,DTX Dex,-,Dexs,7259.065973312543,Taiko
collectif-dao,Collectif DAO,-,Liquid Staking,7236.988532187068,Filecoin
freeriver,FreeRiver,FREE,Dexs,7232.513007110165,Moonriver
line-token,LINE Token,LINE,CDP,7217.178723672393,Kava
summitx-finance,SummitX Finance,-,Dexs,7213.40484617609,Camp
zabu-finance,Zabu Finance,ZABU,Yield Aggregator,7203.409412640716,Avalanche
linear-finance,Linear Finance,LINA,Derivatives,7154.982598628974,Binance
shibex,Shibex,SHIB,Dexs,7151.598565433401,Shibarium
uno-farm,UNO farm,-,Yield Aggregator,7144.755823129718,Polygon;Binance;Aurora;Avalanche
swaprum,Swaprum,SAPR,Dexs,7141.557520353823,Arbitrum
qian,QIAN,KUN,Synthetics,7138.013999476485,Ethereum
gasswap,GasSwap,GAS,Dexs,7128.3621666724375,Blast
pear-dao,Pear DAO,PEX,Services,7118.733070602943,Binance
match-finance,Match Finance,-,Yield Aggregator,7063.86012648356,Ethereum
defi.money,defi.money,-,CDP,7021.4943539340575,Optimism;Arbitrum;Base
nether.fi,Nether.Fi,NFI,Derivatives,7001.777883753869,Base
zoocoin,ZooCoin,ZOO,Dexs,6999.105033466608,Fantom
panoptic-v1,Panoptic V1,-,Options,6965.634741362571,Ethereum;Unichain;Base
immortalx,ImmortalX,IMTX,Derivatives,6947.834120064947,Celo
unilend-v1,Unilend V1,UFT,Lending,6939.747474092684,Ethereum;Polygon;Binance
sentre,Sentre,SNTR,Dexs,6933.906402105572,Solana
strike-finance-forwards,Strike Finance Forwards,STRIKE,Derivatives,6891.694606743697,
ghast-protocol,Ghast Protocol,GHA,Yield Aggregator,6882.230447780452,Arbitrum
interest-protocol-stable-swap,Interest Protocol Stable Swap,IPX,Dexs,6848.265782297898,Sui
spinup-launchpad,SpinUp Launchpad,-,Launchpad,6812.744712911696,Hyperliquid L1
cork-v1,Cork V1,-,Insurance,6792.44230732504,Ethereum
phoenix-dex,Phoenix DEX,-,Dexs,6754.96449266494,Terra2
neptune-protocol,Neptune Protocol,NPT,CDP,6706.9419655515585,Eclipse
surgedefi,SurgeDefi,-,Dexs,6698.970913709762,XRPL EVM
astar-exchange-v2,Astar Exchange V2,ASX,Dexs,6697.689331865372,Astar
twin-finance,Twin Finance,-,Yield,6695.811212536572,Berachain
haven1-hswap,Haven1 hSwap,-,Dexs,6670.228774145524,Haven1
comb-financial,Comb Financial,COMB,Yield,6626.609149747824,Fantom
brinc-finance,Brinc Finance,BRC,Yield,6614.25332078806,Arbitrum
gluon-gold,Gluon Gold,-,Algo-Stables,6603.017381626805,Ergo
cronus-finance,Cronus Finance,CRN,Dexs,6579.709424637238,Evmos
tower-dex,Tower DEX,-,Dexs,6574.265593669287,Babylon Genesis
partyswap,PartySwap,PARTY,Dexs,6552.824620754025,Avalanche
bao-markets,BAO Markets,-,Lending,6544.593130059662,Ethereum
fixes-frc20,Fixes frc20,-,Services,6544.125391914858,Flow
goswap,GoSwap,FAST,Dexs,6520.8456695748555,GoChain
zeroliquid,ZeroLiquid,ZERO,Synthetics,6464.551196714056,Ethereum
openswap,OpenSwap,OPENX,Dexs,6456.884811734662,Harmony
baklava-space,Baklava Space,BAVA,Yield,6421.289135182358,Avalanche;Base;Binance;FunctionX
mm-stableswap-polygon,MM Stableswap Polygon,-,Dexs,6420.496472496912,Polygon
logium,Logium,-,Derivatives,6382.713318602222,Ethereum
ryze.fi,Ryze.Fi,-,Derivatives,6353.303395285767,Arbitrum
flashstake-old,Flashstake OLD,FLASH,Yield,6324.425838091131,Ethereum
anzen-v1,Anzen V1,ANZ,RWA,6297.836084041421,Ethereum
alfafrens,AlfaFrens,-,SoFi,6292.742472330363,Base
monolend,MonoLend,MLD,Lending,6272.934602322304,Polygon
impls,IMPLS,IMPLS,Yield Aggregator,6241.431336612938,Pulse
moraswap-v3,Moraswap V3,-,Dexs,6236.72042200965,Neon
polter-finance,Polter Finance,POLTER,Lending,6213.3614978577125,Fantom;Base;Sonic
nf3-ape,NF3 APE,-,Liquid Staking,6184.207888642114,Ethereum
fizzswap-v3,Fizzswap V3,-,Dexs,6172.232304997906,Silicon zkEVM
joc-dex,JOC Dex,-,Dexs,6169.734836283359,JOC
stablebase,StableBase,SBASE,Dexs,6111.199706659083,Base
stakepoint,StakePoint,SPT,Farm,6110.566156952196,Solana
ruby.exchange-stable,Ruby.Exchange Stable,RUBY,Dexs,6096.16155831784,Europa
hybra-v2,Hybra V2,-,Dexs,6092.993060245638,Hyperliquid L1
encoins,Encoins,ENCS,Privacy,6090.666426557742,Cardano
bounce-finance,Bounce Finance,Auction,Launchpad,6070.05177964634,Ethereum
borgswap,BorgSwap,BORG,Yield,6030.312275975179,Binance;Fantom
fenix-standard-pools,Fenix Standard Pools,FNX,Dexs,6014.55932813368,Blast
blackbird-finance,BlackBird Finance,BIRD,Yield,6012.818430012396,Cronos
surf-protocol,Surf Protocol,-,Derivatives,5998.247679279707,Base;Merlin
synthswap-v3,Synthswap V3,SYNTH,Dexs,5977.577602936871,Base
baki,Baki,-,CDP,5971.0391609608605,Avalanche
interest-protocol-sui,Interest Protocol-SUI,IPX,Dexs,5964.223583170863,Sui
greenhouse,Greenhouse,GREEN,Dexs,5947.929457346013,Polygon
sboom,Sboom,-,Dexs,5892.674768925403,Sonic
sigmaswap,SigmaSwap,-,Bridge,5874.855874799823,LUKSO
marginx-dex,MarginX DEX,-,Dexs,5871.2312306273225,FunctionX
bitgenie-farm,BitGenie Farm,-,Farm,5862.26209985028,Merlin
paladin-dullahan,Paladin Dullahan,PAL,Yield,5843.563607352157,Ethereum
spacefi-evmos,SpaceFi Evmos,SPACE,Dexs,5805.313387973756,Evmos
sharky-swap,Sharky Swap,SHARKY,Dexs,5787.190294683137,Arbitrum
carbon-finance,Carbon Finance,CARBON,Farm,5777.894235685195,Arbitrum
jetstream,Jetstream,-,Derivatives,5774.2526769742935,Arbitrum
fuzio,Fuzio,-,Dexs,5756.310631549356,Sei
a51-finance-v3,A51 Finance V3,A51,Liquidity manager,5754.960945225807,Base;Arbitrum;Linea;Optimism;Blast;Mode;Scroll;Manta;Binance;Polygon;Polygon zkEVM
handle.fi,handle.fi,FOREX,CDP,5751.008776570655,Arbitrum
kodo-exchange,Kodo Exchange,KODO,Dexs,5738.823091792701,Taiko
native-swap,Native Swap,-,Dexs,5736.339803035588,Binance;Ethereum;Polygon;Arbitrum;Mantle;ZetaChain;Avalanche;Manta;zkLink
volta-markets,Volta Markets,-,Derivatives,5736.322997510713,CORE
ducky-city-sofi,Ducky City SOFI,DCE,SoFi,5716.126642396189,Base
etcswap-v2,ETCswap V2,-,Dexs,5678.846527864865,EthereumClassic
detto-finance,Detto Finance,DETO,Farm,5669.340971295131,Base
joltify-lend,Joltify Lend,JOLT,Lending,5653.6873534430815,Joltify
corepound,Corepound,CORP,Yield,5633.121130578185,CORE
citadelswap,CitadelSwap,FORT,Dexs,5629.692871989364,Base
stab-protocol,STAB Protocol,ILIS,CDP,5619.498845998356,Radix
bourbon-defi,Bourbon Defi,BOURBON,Dexs,5602.73517890867,Dogechain
acoconut,ACoconut,AC,Yield,5597.3395187932565,Ethereum;Binance
relaychain,RelayChain,RELAY,Bridge,5569.98275056297,Harmony;Optimism;Polygon;Moonriver;Ethereum;Arbitrum;Binance;Metis;Avalanche;Cronos;Fantom;Heco;IoTeX
aptoslaunch,AptosLaunch,ALT,Launchpad,5556.874939867108,Aptos
friendroom,FriendRoom,FRIEND,SoFi,5530.485189908457,Ethereum
waka-finance,Waka Finance,WAKA,Dexs,5524.954977053607,Fantom
tulip-protocol,Tulip Protocol,TULIP,Yield,5502.2695532067855,Solana
gammaswap-classic,GammaSwap Classic,GS,Derivatives,5489.788577766832,Arbitrum
touch.fan,Touch.fan,-,SoFi,5488.660793531427,zkSync Era
defirex,Defirex,DFX,Yield,5483.639834046209,Ethereum
parraton,Parraton,-,Yield Aggregator,5471.60100414669,TON
warp-dex,Warp Dex,-,Dexs,5455.75930529223,Bostrom
garbi-protocol,Garbi Protocol,GRB,Yield,5405.680640756186,Arbitrum
dunes,Dunes,-,Liquid Restaking,5404.568241618492,Ethereum
dripit,dripit,-,Prediction Market,5401.768718250941,Avalanche
fomoswap-v2,FomoSwap V2,-,Dexs,5392.804570133143,Taraxa
possum-labs,Possum Labs,PSM,Yield,5368.639061311138,Arbitrum
parcl-v2,Parcl V2,PRCL,Synthetics,5357.504971400059,Solana
dip-exchange,DIP Exchange,DIP,Derivatives,5354.1781849901345,Base
zebra-v1,Zebra V1,-,Dexs,5349.898189544155,Scroll
roketo,Roketo,-,Payments,5331.335363226506,Near
strike,Strike,STRK,Lending,5320.934997715972,Ethereum
fuseon,Fuseon,FUS,Dexs,5298.874685409311,Plasma
aqualoan,AquaLoan,AQUA,Lending,5288.867965711986,Binance
moonbase-alpha,Moonbase Alpha,MROCK,Dexs,5281.819910002242,Arbitrum
drachma,Drachma,DRACHMA,Dexs,5278.263565405738,Metis
m11-credit,M11 Credit,-,Risk Curators,5274.355367100191,Ethereum
cleopatra-legacy,Cleopatra Legacy,CLEO,Dexs,5273.3068044641395,Mantle
lfgswap-xlayer,LFGSwap XLayer,LFG,Dexs,5264.53699402754,X Layer
fixes-frc20-staking,Fixes frc20 Staking,-,Staking Pool,5244.6137677015195,Flow
entropyfi,Entropyfi,ERP,Prediction Market,5237.599191205563,Polygon
phi,Phi,PHI,Launchpad,5199.282424200115,Base
kaiafun,KaiaFun,-,Launchpad,5192.030819901603,Klaytn
unifi,UniFi,UNFI,Dexs,5184.741673671534,Binance;Ethereum;Avalanche;Harmony;Polygon;Tron;IoTeX;Fantom;OntologyEVM;Bittorrent
oxedium,Oxedium,-,Dexs,5162.783027067662,Solana
lfgswap-arbitrum,LFGSwap Arbitrum,LFG,Dexs,5158.470669551331,Arbitrum
bridgem,BridgeM,-,Bridge,5144.083652954951,Ethereum;Manta
orbiter-one,Orbiter One,ORB,Lending,5142.893626702307,Moonbeam
hyperblast,HyperBlast,HYPE,Dexs,5142.274683302161,Blast
interest-curve,Interest Curve,-,Dexs,5138.548618391916,Movement
envelop,Envelop,NIFTSY,NftFi,5116.365386390326,Blast;Binance;Ethereum;Arbitrum;Polygon;Optimism;Avalanche
vultureswap,VultureSwap,VULTR,Dexs,5111.134754367661,Cronos
mantleswap,MantleSwap,MANT,Dexs,5110.039575315715,Mantle
virbicoin-dex,VirBiCoin DEX,-,Dexs,5095.272934883296,VirBiCoin
hx-finance,HX Finance,-,Dexs,5086.448447219275,Hyperliquid L1
beamex-perps,Beamex Perps,GLINT,Derivatives,5083.963359652296,Moonbeam
gnd-protocol,GND Protocol,GND,Yield,5075.822986390028,Arbitrum
seismic,Seismic,-,Lending,5043.246597194727,Blast
dogmoney,DogMoney,DOGMONEY,Dexs,5036.423679332644,Dogechain
memebox,Memebox,-,Dexs,5012.753483782428,Sonic
swapp,SWAPP,SWAPP,Dexs,5012.06309212286,Cronos
the-ennead-farm,The Ennead Farm,neadRAM,Yield,4995.027893705227,Arbitrum;Avalanche
arch-swap,Arch Swap,-,Dexs,4993.977074266347,Botanix
shezmu,Shezmu,SHEZMU,CDP,4992.8277307960425,Ethereum
grace,Grace,-,Lending,4990.538997138628,Base;Ethereum
commodo,Commodo,-,Lending,4956.788317739523,Comdex
swaap-earn,Swaap Earn,-,Yield,4951.920899654145,Arbitrum;Ethereum
prism-protocol,PRISM Protocol,PRISM,Yield,4947.039187447534,Terra2;Terra
blaze-swap,Blaze Swap,-,Dexs,4936.087205759801,XION
meme-wallet,Meme Wallet,-,Launchpad,4881.483331051999,World Chain
forge,Forge,-,Dexs,4858.53635810115,Evmos
voltage-v3,Voltage V3,VOLT,Dexs,4857.713258645574,Fuse
sculptor-finance,Sculptor Finance,SCULPT,Lending,4847.6365226857715,Binance
fxdx,FXDX,FXDX,Derivatives,4839.145478077661,Base;Optimism
super-dca,Super DCA,DCA,DCA Tools,4832.252152923028,Optimism;Unichain;Base
kaspa-finance-v3,Kaspa Finance V3,KFC,Dexs,4829.363031388482,Kasplex
magicfox-vaults,MagicFox Vaults,FOX,Yield,4819.086092193301,Arbitrum;Binance;Polygon
