name,exploit_date,classification,technique,loss_usd,chain,bridgeHack,targetType,returnedFunds,defillamaId,language,source_url,parentProtocolId,extra_source,extra_attack_method,extra_loss_usd,extra_protocol,extra_date
SwissBorg,9/9/25,Infrastructure,Third-party API compromise,41500000,Solana,FALSE,CEX,,2295,,https://x.com/rishabhsrishi/status/1965115870042263828,,,,,,
Bitcoin Mission,4/22/25,Protocol Logic,overPaper Function Exploit,1300000,Arbitrum,FALSE,DeFi Protocol,,,Solidity,https://x.com/officer_cia/status/1914690926695362685,,,,,,
OKX DEX,12/13/23,Infrastructure,Private Key Compromised (Unknown Method),2700000,Ethereum,FALSE,DeFi Protocol,,,Solidity,https://twitter.com/TheBlock__/status/1734921504523956630,,,,,,
DEUS Finance,3/15/21,Ecosystem,Flashloan Price Oracle Attack,3000000,Fantom,FALSE,DeFi Protocol,,1387,Solidity,https://twitter.com/peckshield/status/1503632734299701250,,,,,,
SurgeBNB,8/17/21,Ecosystem,Flashloan Reentrancy Attack,4000000,BSC,FALSE,DeFi Protocol,,,Solidity,https://beosin.medium.com/a-sweet-blow-fb0a5e08657d,,,,,,
Unilend V2,1/12/25,Protocol Logic,Redeem Process Exploit,197600,Ethereum,FALSE,DeFi Protocol,,4288,Solidity,https://www.the-blockchain.com/2025/01/13/unilend-finance-losses-197-6k-to-a-redeem-process-vulnerability-exploit/,parent#unilend,,,,,
Cashio,3/23/22,Protocol Logic,Collateral Validation Exploit,48000000,Solana,FALSE,DeFi Protocol,,793,Rust,https://twitter.com/samczsun/status/1506578902331768832?s=20&t=UL8INfwfJ5hgY7Vq9M3Sbw,,ChainSec,,52800000.0,Cashio,2022-03-23
The DAO,6/17/16,Protocol Logic,Reentrancy,60000000,Ethereum,FALSE,DeFi Protocol,,,Solidity,https://ogucluturk.medium.com/the-dao-hack-explained-unfortunate-take-off-of-smart-contracts-2bd8c8db3562,,,,,,
Nirvana V1,7/28/22,Ecosystem,Flashloan Price Oracle Attack,3500000,Solana,FALSE,DeFi Protocol,,1825,Rust,https://twitter.com/osec_io/status/1552589378719207424?s=20&t=I8QXz7iG0z7hjvfCA579LA,parent#nirvana,,,,,
BtcTurk,6/22/24,,Private Key Compromised (Unknown Method),54000000,,FALSE,CEX,,,,https://x.com/wublockchain/status/1804487593062752260,,,,,,
Usual,5/27/25,Protocol Logic,Arbitration Exploit,43000,Ethereum,FALSE,DeFi Protocol,,4882,Solidity,https://x.com/BlockSecTeam/status/1927601457815040283,,,,,,
Paraluni Masterchef,3/13/22,Ecosystem,Flashloan Reentrancy Attack,1700000,BSC,FALSE,DeFi Protocol,,1520,Solidity,https://slowmist.medium.com/paraluni-incident-analysis-58be442a4f99,parent#paraluni,,,,,
CoinDash,7/18/17,Protocol Logic,Frontend Attack,7700000,Ethereum,FALSE,ICO,,,,https://www.coindesk.com/markets/2017/07/17/7-million-lost-in-coindash-ico-hack/,,,,,,
Cozy V2,8/30/25,Protocol Logic,Insufficient Sender Verification Exploit,427000,Optimism,FALSE,DeFi Protocol,,2964,Solidity,https://x.com/DecurityHQ/status/1961810726164533602,parent#cozy-finance,,,,,
zkLend,2/11/25,Protocol Logic,Empty Market Exploit,9550000,Starknet,FALSE,DeFi Protocol,,3079,Cairo,https://x.com/zkLend/status/1889515118368829559,parent#zklend-finance,,,,,
Poly Network,8/10/21,Protocol Logic,Access Control Exploit,611000000,"Ethereum,BSC,Polygon",TRUE,DeFi Protocol,,1796,Solidity,https://slowmist.medium.com/the-root-cause-of-poly-network-being-hacked-ec2ee1b0c68f,,ChainSec,,,Poly Network,2021-08-10
XT Exchange,11/28/24,Infrastructure,,1700000,Ethereum,FALSE,CEX,,,,https://x.com/protos/status/1862100763570294837,,,,,,
Rho Markets,7/19/24,Protocol Logic,Price Oracle Manipulation,7600000,Scroll,FALSE,DeFi Protocol,,4808,Solidity,https://x.com/DLNewsInfo/status/1814302008213410292,,,,,,
GriffinAI,9/24/25,Infrastructure,False Peer Exploit,3000000,BSC,FALSE,DeFi Protocol,,,Solidity,https://x.com/CertiKAlert/status/1971053766540657069,,,,,,
Turtle Dex,3/20/21,Rugpull,Drained Contracts,2500000,BSC,FALSE,DeFi Protocol,,,Solidity,https://cointelegraph.com/news/binance-smart-chain-s-turtledex-rugpulls-shortly-after-launch,,,,,,
Gate,4/21/18,Infrastructure,Private Key Compromised (Unknown Method),235000000,,FALSE,CEX,,2314,,https://www.justice.gov/opa/press-release/file/1253491/download,,,,,,
Monoswap,7/31/24,Infrastructure,Private Key Compromised (Malware),1300000,Blast,FALSE,DeFi Protocol,,,Solidity,https://x.com/monoswapio/status/1816151998267547851,,,,,,
Multichain,7/7/23,Infrastructure,Private Key Compromised (Unknown Method),126000000,"Moonriver,BSC,Fantom",TRUE,DeFi Protocol,,591,,https://twitter.com/tayvano_/status/1677106407131475968?t=VKQSi0VcSbv_Jgi8Q58SqQ&s=19,,,,,,
Belt Finance,5/29/21,Ecosystem,Flashloan Price Oracle Attack,6300000,BSC,FALSE,DeFi Protocol,,310,Solidity,https://rekt.news/belt-rekt/,,,,,,
Texture,7/9/25,,,2200000,Solana,FALSE,DeFi Protocol,,,Rust,https://x.com/texture_fi/status/1942972150631002245,,,,,,
Arbix Finance,1/4/22,Rugpull,Drained Contracts,10000000,BSC,FALSE,DeFi Protocol,,,Solidity,https://rekt.news/arbix-rekt/,,,,,,
Bybit,2/21/25,Protocol Logic,Safe Multisig wallet Phishing Exploit,1400000000,Ethereum,FALSE,CEX,1400000000,2286,Solidity,https://x.com/benbybit/status/1892963530422505586,,,,,,
Save,11/2/22,Ecosystem,Price Oracle Attack,1260000,Solana,FALSE,DeFi Protocol,,458,Rust,https://twitter.com/solendprotocol/status/1587671511137398784,parent#save-protocol,,,,,
Amun,12/26/22,Protocol Logic,Controlled Rebalance Manipulation,300000,Ethereum,FALSE,DeFi Protocol,,400,,https://medium.com/amun-tokens/peco-dfi-post-mortem-december-26th-2022-46576394def9,,,,,,
GANA Payment,11/20/25,Infrastructure,Private Key Compromised,3100000,BSC,FALSE,DeFi Protocol,,,Solidity,https://www.theblock.co/post/379619/gana-payment-exploit,,,,,,
Thorchain DEX,7/15/21,Protocol Logic,Over-ride Logic Exploit,5000000,Ethereum,FALSE,DeFi Protocol,,412,Solidity,https://rekt.news/thorchain-rekt/,,,,,,
Roll,3/14/21,Infrastructure,Private Key Compromised (Unknown Method),5700000,Ethereum,FALSE,DeFi Protocol,,,,https://rekt.news/roll-rekt/,,ChainSec,,,Roll,2021-03-14
Warp Protocol,12/18/20,Ecosystem,Flashloan Price Oracle Attack,7800000,Ethereum,FALSE,DeFi Protocol,,601,Solidity,https://rekt.news/warp-finance-rekt/,,,,,,
ThalaSwap,11/15/24,Protocol Logic,Drained Liquidity Pool,25500000,Aptos,FALSE,DeFi Protocol,,2795,Move,https://cointelegraph.com/news/thala-recovers-25-million-exploiter-hacker-caught,parent#thala-labs,,,,,
Raft,11/10/23,Protocol Logic,Infinite Mint and Dump,3300000,Ethereum,FALSE,DeFi Protocol,,3068,Solidity,https://twitter.com/AnciliaInc/status/1723055359034568828,,,,,,
Kalax,10/14/24,Rugpull,Drain Vaults,350000,Blast,FALSE,DeFi Protocol,,4677,Solidity,https://x.com/0x50313335/status/1845398390491726296,,,,,,
MSCST,12/28/25,Protocol Logic,Atomic Sandwich Attack,129900,BSC,FALSE,DeFi Protocol,,,Solidity,https://x.com/hklst4r/status/2005515461773885670,,,,,,
EraLend,7/25/23,Protocol Logic,Reentrancy,3400000,zkSync Era,FALSE,DeFi Protocol,,2746,Solidity,https://twitter.com/DLNewsInfo/status/1683870083272130562,,,,,,
Banana Gun,9/19/24,Protocol Logic,Front-end vulnerability,3000000,Ethereum,FALSE,DeFi Protocol,3000000,3336,,https://x.com/BananaGunBot/status/1838660010387116484,,,,,,
Acala Network,8/13/21,Protocol Logic,Incentives Function Mistake,1600000,Acala,FALSE,DeFi Protocol,,,Solidity,https://twitter.com/alice_und_bob/status/1558959878475075584,,,,,,
Mobius Token,5/11/25,Protocol Logic,Decimal Miscalculation Exploit,2160000,BSC,FALSE,DeFi Protocol,,,Solidity,https://www.certik.com/resources/blog/mobius-token-incident-analysis,,,,,,
DODO AMM,3/9/21,Protocol Logic,Access Control Exploit,2000000,Ethereum,FALSE,DeFi Protocol,,146,Solidity,https://rekt.news/au-dodo-rekt/,parent#dodo,,,,,
BonqDAO,2/1/23,Protocol Logic,Price Oracle Attack,1700000,Polygon,FALSE,DeFi Protocol,,2477,Solidity,https://twitter.com/peckshield/status/1620917292514299904?s=20&t=ZroERzkeCrxy3gHxtboQeA,,,,,,
Beanstalk,4/17/22,Ecosystem,Flashloan Governance Attack,181000000,Ethereum,FALSE,DeFi Protocol,,631,Solidity,https://twitter.com/FrankResearcher/status/1515693895887294466?s=20,parent#beanstalk,,,,,
Pickle,11/22/20,Protocol Logic,Vault Swap Exploit,19700000,Ethereum,FALSE,DeFi Protocol,,134,Solidity,https://github.com/banteg/evil-jar/blob/master/readme.md,,,,,,
Minterest,7/15/24,Protocol Logic,Reentrancy,1400000,Mantle,FALSE,DeFi Protocol,,,Solidity,https://x.com/Minterest/status/1812540672248820033,,,,,,
dForce,2/10/23,Protocol Logic,Reentrancy,3650000,"Arbitrum,Optimism",FALSE,DeFi Protocol,,123,Solidity,https://twitter.com/peckshield/status/1623902441992523776,,,,,,
pNetwork,11/3/22,Protocol Logic,Misconfiguration,4589449,BSC,TRUE,DeFi Protocol,4589449,547,Solidity,https://twitter.com/pNetworkDeFi/status/1588956872664829952,,,,,,
Loopring,6/9/24,Protocol Logic,Guardian 2FA service exploit,5000000,Loopring,FALSE,DeFi Protocol,,126,,https://x.com/loopringorg/status/1799791898296451515,,,,,,
Seedify,9/23/25,Infrastructure,Infinite Mint and Dump,1000000,"BSC,Avalanche",TRUE,DeFi Protocol,,1511,Solidity,https://x.com/meta_alchemist/status/1970470733017968841,,,,,,
Dego Finance,2/10/22,Infrastructure,Private Key Compromised (Unknown Method),10000000,"Ethereum,BSC,Cronos",FALSE,DeFi Protocol,,,,https://rekt.news/dego-finance-rekt/,,,,,,
Bunni V2,9/2/25,Protocol Logic,Liquidity Distribution Function Exploit,8400000,"Ethereum,Unichain",FALSE,DeFi Protocol,,5734,Solidity,https://x.com/CertiKAlert/status/1962755574283768308,parent#bunni,,,,,
Blur Finance,8/10/22,Rugpull,Drained Contracts,600000,"BSC,Polygon",FALSE,DeFi Protocol,,1891,Solidity,https://cryptoslate.com/blur-finance-allegedly-rug-pulled-investors-at-a-combined-600k-loss/,,,,,,
Team Finance,10/27/22,Protocol Logic,Migrate Function Mistake Exploit,15800000,Ethereum,FALSE,DeFi Protocol,,1864,Solidity,https://twitter.com/peckshield/status/1585587858978623491?s=20&t=vAGSJQ0ivXGoOv80bGx4iQ,,,,,,
Eminence,9/28/20,Ecosystem,Flashloan Price Oracle Attack,15000000,Ethereum,FALSE,DeFi Protocol,,,Solidity,https://rekt.news/eminence-rekt-in-prod/,,,,,,
Pike,4/30/24,Protocol Logic,Storage Misalignment Exploit,1600000,"Ethereum,Optimism,Arbitrum",FALSE,DeFi Protocol,1600000,4100,Solidity,https://twitter.com/PikeFinance/status/1785572875124330644,,,,,,
MoonHacker,1/2/25,Protocol Logic,Unchecked FlashLoan Approve Exploit,300000,Optimism,FALSE,DeFi Protocol,,,Solidity,https://x.com/dedaub/status/1874838342485102852,,,,,,
Balancer V2,8/27/23,Protocol Logic,,800000,Ethereum,FALSE,DeFi Protocol,,2611,Solidity,https://twitter.com/mevrefund/status/1695792040531960116,parent#balancer,,,,,
DeltaPrime,9/16/24,Protocol Logic,Private Key Compromised (Unknown Method),5980000,Arbitrum,FALSE,DeFi Protocol,,2479,Solidity,https://x.com/CryptoTimes_io/status/1835620537055514652,,,,,,
Nexera,8/7/24,Protocol Logic,Ownership Override Attack,1800000,Ethereum,FALSE,DeFi Protocol,,,Solidity,https://www.coindesk.com/business/2024/08/07/blockchain-protocol-nexara-suffers-18m-exploit-nxra-tumbles-40/,,,,,,
Infini,2/24/25,Protocol Logic,Dev Privilege Oversight Exploit,49500000,Ethereum,FALSE,DeFi Protocol,,,,https://x.com/peckshieldalert/status/1893874770803851454,,,,,,
MM Finance Cronos,5/4/22,Infrastructure,DNS Spoofing,2000000,Cronos,FALSE,DeFi Protocol,,1028,,https://medium.com/@MMFinance/dns-hi-jacking-post-mortem-compensation-3e2b5bb21183,parent#mm-finance,,,,,
Revest Finance,3/27/22,Smart Contract Language,Reentrancy,2010000,Ethereum,FALSE,DeFi Protocol,,830,Solidity,https://twitter.com/BlockSecTeam/status/1508065573250678793?s=20&t=NXJmfrEeRP3-fqmOwjOAGQ,,,,,,
Tropykus RSK,6/14/23,Protocol Logic,Redeem Rounding Error Exploit,150000,Rootstock,FALSE,DeFi Protocol,,1464,Solidity,https://twitter.com/tropykus/status/1669310852787216385,parent#tropykus-finance,,,,,
Arena SocialFi,10/7/23,Protocol Logic,Reentrancy,2900000,Avalanche,FALSE,Other,,3564,Solidity,https://twitter.com/peckshield/status/1710555944269292009?t=Al_-cDBwoNs3vpKqcpJ0Jw&s=19,parent#the-arena,,,,,
Phemex,1/23/25,Infrastructure,Private Key Compromised (Unknown Method),85000000,"Ethereum,Solana,XRP,Bitcoin,BSC,Sui,Base,Tron,Arbitrum,Avalanche,Polygon,Optimism,zkSync Era",FALSE,CEX,,2369,,https://x.com/PeckShieldAlert/status/1882776555312869830,,,,,,
BlueBerry,2/24/24,Protocol Logic,Flashloan Price Oracle Attack,1400000,Ethereum,FALSE,DeFi Protocol,,,Solidity,https://x.com/blueberryFDN/status/1760872935982879030,,,,,,
Crema Finance,7/2/22,Protocol Logic,Access Control Exploit,8800000,Solana,FALSE,DeFi Protocol,,1412,Rust,https://twitter.com/Crema_Finance/status/1543638844410499073?s=20&t=tjkZ9crEBqMSfzI2BMG_oQ,,,,,,
AzukiDAO,7/3/23,Protocol Logic,Replay Attack,68000,Ethereum,FALSE,DeFi Protocol,,,Solidity,https://twitter.com/dedaub/status/1675983033168453632?s=20,,,,,,
Tenderize V2,4/7/25,Protocol Logic,Proxy Upgrade Skim,10850,Ethereum,FALSE,DeFi Protocol,,4085,Solidity,https://x.com/dedaub/status/1914815361616367872,parent#tenderize,,,,,
Pando Rings,11/6/22,Ecosystem,Price Oracle Attack,22000000,Mixin,FALSE,DeFi Protocol,,2204,Go,https://pando.im/news/2022/2022-11-06-alert-to-pando-community-hack-of-pando-rings/,parent#pando,,,,,
DEUS Finance,5/5/23,Protocol Logic,Burn Function Mistake,6500000,"Arbitrum,BSC,Ethereum",FALSE,DeFi Protocol,,1387,Solidity,https://twitter.com/storming0x/status/1654561199999135747?s=20,,,,,,
Mixin Network,9/23/23,Infrastructure,Database Attack,200000000,Mixin,FALSE,Other,,,,https://twitter.com/MixinKernel/status/1706139175018529139,,,,,,
Fantasm Finance,3/9/22,Protocol Logic,Missing Condition Check,2260000,Fantom,FALSE,DeFi Protocol,,,Solidity,https://quadrigainitiative.com/cryptocurrencyhackscamfraudwiki/index.php?title=Fantasm_Finance_Contract_Vulnerabilities,,,,,,
LeetSwap,8/1/23,Protocol Logic,Liquidity Pools Compromised,620000,Base,FALSE,DeFi Protocol,,2745,Solidity,https://twitter.com/TheBlock__/status/1686201265758326784,,,,,,
Astera.fi,10/9/25,Protocol Logic,Oracle Price Feed Manipulation,573000,Linea,FALSE,DeFi Protocol,,,Solidity,https://x.com/hklst4r/status/1976296543872233508,,,,,,
Hegic(old contract),3/1/25,Protocol Logic,Unlimited repeated withdrawal exploit,94000,Ethereum,FALSE,DeFi Protocol,,,Solidity,https://x.com/HegicOptions/status/1896933787923345470,,,,,,
Hyperliquid,6/15/23,Ecosystem,CEX Price Manipulation Attack,37000,Arbitrum,FALSE,DeFi Protocol,,2862,,https://twitter.com/HyperliquidX/status/1669818300191363073,,,,,,
Moby,1/8/25,Infrastructure,Private Key Compromised (Unknown Method),1470000,Arbitrum,FALSE,DeFi Protocol,,4452,Solidity,https://x.com/Moby_trade/status/1877096336140677458,,,,,,
1inch,3/7/25,Protocol Logic,Calldata underflow and resolver hijack,5000000,Ethereum,FALSE,DeFi Protocol,,189,Solidity,https://blog.1inch.io/vulnerability-discovered-in-resolver-contract/,,,,,,
Eleven Finance,6/22/21,Ecosystem,Flashloan Burn Function Exploit,4500000,BSC,FALSE,DeFi Protocol,,583,Solidity,https://rekt.news/11-rekt/,,ChainSec,,4600000.0,Eleven Finance,2021-06-22
CheeseBank,11/16/20,Ecosystem,Flashloan Price Oracle Attack,3300000,Ethereum,FALSE,DeFi Protocol,,,,https://twitter.com/CheeseBank2020/status/1328343819201380353?s=20&t=qtl30Yo9ErEoVr8v3T20dg,,,,,,
Vulcan Forged,12/13/21,Infrastructure,Private Key Compromised (Unknown Method),140000000,"Ethereum,Polygon",FALSE,DeFi Protocol,,,,https://rekt.news/vulcan-forged-rekt/,,ChainSec,,140000000.0,Vulcan Forged,2021-12-13
Slope Wallet,8/2/22,Infrastructure,Private Key Compromised (Stored Publicly),5300000,Solana,FALSE,Wallet,,,,https://solana.com/news/8-2-2022-application-wallet-incident,,,,,,
Rari Capital,5/1/22,Ecosystem,Flashloan Reentrancy Attack,80000000,"Ethereum,Arbitrum",FALSE,DeFi Protocol,,136,Solidity,https://twitter.com/Hacxyk/status/1520370421773725698?s=20&t=3ZdC2UMcxHaD73SwrcnudQ,,,,,,
ALEX,5/16/24,Infrastructure,Private Key Compromised (Phishing),4300000,Stacks,FALSE,DeFi Protocol,,1466,,https://rekt.news/alexlab-rekt/,,,,,,
Onyx V2,9/26/24,Protocol Logic,Liquidation Logic Exploit,4000000,Ethereum,FALSE,DeFi Protocol,,5180,Solidity,https://x.com/blocksecteam/status/1839314277359849484,parent#onyx,,,,,
UwU Lend,6/13/24,Ecosystem,Flashloan Price Oracle Attack,3700000,Ethereum,FALSE,DeFi Protocol,,2111,Solidity,https://x.com/TheBlock__/status/1801177660946612664,,,,,,
Spartan,5/2/21,Ecosystem,Flashloan Pool Shares Exploit,30500000,BSC,FALSE,DeFi Protocol,,1246,Solidity,https://peckshield-94632.medium.com/the-spartan-incident-root-cause-analysis-b14135d3415f,,,,,,
Huobi,11/22/23,Infrastructure,Private Key Compromised (Unknown Method),26400000,Ethereum,FALSE,CEX,,,,https://twitter.com/TheBlock__/status/1727397707843621201,,,,,,
402bridge,10/27/25,Infrastructure,Private Key Compromised (Stored Publicly),17000,Base,TRUE,DeFi Protocol,,,Solidity,https://x.com/PeckShieldAlert/status/1983029273528283503,,,,,,
Poly Network,7/2/23,Infrastructure,Private Key Compromised (Unknown Method),5000000,"Ethereum,BSC,Polygon",TRUE,DeFi Protocol,,1796,Solidity,https://twitter.com/dedaub/status/1675516729349292032?s=20,,,,,,
Mirror,10/8/21,Smart Contract Language,Duplicate Call Exploit,90000000,Terra,FALSE,DeFi Protocol,,260,Rust,https://blocksecteam.medium.com/how-the-mirror-protocol-is-exploited-33b5c1d48322,,,,,,
Merlin,5/26/21,Ecosystem,Flashloan Incentive Rewards Exploit,680000,BSC,FALSE,DeFi Protocol,,370,Solidity,https://rekt.news/merlinlabs-rekt/,,,,,,
8ightDAO,12/8/21,Infrastructure,Private Key Compromised (Unknown Method),1750000,Harmony,FALSE,DeFi Protocol,,889,,https://rekt.news/8ight-finance-rekt/,,,,,,
Rari Capital,12/18/25,Protocol Logic,Uninitialized Proxy Hijack,2000000,Ethereum,FALSE,DeFi Protocol,,136,Solidity,https://x.com/zmtO21/status/2001585158106026270,,,,,,
0vix,4/28/23,Ecosystem,Flashloan Donate Function Logic Exploit,2000000,Polygon,FALSE,DeFi Protocol,,1614,Solidity,https://twitter.com/peckshield/status/1651923235603361793?s=20,,ChainSec,,0.0,0vix,2023-04-28
SUNRAY·FINANCE,10/30/24,Infrastructure,Private Key Compromised,2855000,Arbitrum,FALSE,DeFi Protocol,,,Solidity,https://x.com/CertiKAlert/status/1851816489286041885,,,,,,
Levana Perps,12/27/23,Protocol Logic,Price Oracle Attack,1100000,Osmosis,FALSE,DeFi Protocol,,3474,Rust,https://twitter.com/Levana_protocol/status/1740071199483543819,,,,,,
Impermax V3,4/26/25,Protocol Logic,Flashloan Exploit,300000,Base,FALSE,DeFi Protocol,,5981,Solidity,https://x.com/ImpermaxFinance/status/1916123070223339553,parent#impermax-finance,,,,,
Astrid Finance,10/29/23,Protocol Logic,Withdraw Function Argument Manipulation,228000,Ethereum,FALSE,DeFi Protocol,,,,https://twitter.com/Phalcon_xyz/status/1718455634155409489,,,,,,
SIR,3/30/25,Protocol Logic,Transient storage collision,355000,Ethereum,FALSE,DeFi Protocol,,5842,Solidity,https://x.com/leveragesir/status/1906265780057972854,,,,,,
Lava,3/29/24,Protocol Logic,Calculation Error in Liquidation Engine ,340000,Arbitrum,FALSE,DeFi Protocol,,4241,Solidity,https://twitter.com/CertiKAlert/status/1773584949855277261,,,,,,
Inverse Finance Frontier,6/16/22,Ecosystem,Flashloan Price Oracle Attack,5800000,Ethereum,FALSE,DeFi Protocol,,338,Solidity,https://twitter.com/peckshield/status/1537382891230883841?s=20&t=uxBt2fIcD_f82MM2VD3pCg,parent#inverse-finance,,,,,
Balancer V2,9/19/23,Protocol Logic,Frontend Attack,238000,Ethereum,FALSE,DeFi Protocol,,2611,,https://twitter.com/PeckShieldAlert/status/1704306602529247294,parent#balancer,,,,,
SushiSwap,4/10/23,Protocol Logic,Missing Input Validation,3300000,"Ethereum,Arbitrum,Optimism,BSC",FALSE,DeFi Protocol,3300000,,Solidity,https://x.com/ernestognw/status/1645113041430757378,,,,,,
Gamma,12/21/21,Protocol Logic,Access Control Exploit,8200000,Ethereum,FALSE,DeFi Protocol,,355,Solidity,https://medium.com/visorfinance/post-mortem-for-vvisr-staking-contract-exploit-and-upcoming-migration-7920e1dee55a,,,,,,
Bunny,5/19/21,Ecosystem,Flashloan Price Oracle Attack,45000000,BSC,FALSE,DeFi Protocol,,254,Solidity,https://peckshield.medium.com/pancakebunny-incident-root-cause-analysis-7099f413cc9b,,,,,,
RiskOnBlast,2/25/24,Rugpull,,1300000,Blast,FALSE,DeFi Protocol,,,,https://www.certik.com/resources/blog/risk-on-blast-incident-analysis,,,,,,
Jimbos Protocol,5/28/23,Ecosystem,Flashloan Slippage Attack,7500000,Arbitrum,FALSE,DeFi Protocol,,,Solidity,https://twitter.com/peckshield/status/1662650673731624961?s=20,,,,,,
ValueDefi,5/5/21,Protocol Logic,Access Control Exploit,10000000,BSC,FALSE,DeFi Protocol,,164,Solidity,https://rekt.news/value-rekt2/,parent#value-finance,,,,,
Bent Finance,12/21/21,Protocol Logic,User Balances Manually Updated,1750000,Ethereum,FALSE,DeFi Protocol,,,Solidity,https://rekt.news/bent-finance/,,,,,,
LND,5/9/25,Protocol Logic,,1300000,"Sonic,Hyperliquid L1",FALSE,DeFi Protocol,,6071,,https://x.com/Lnd_fi/status/1920705062143250845,,,,,,
Platypus Finance,2/16/23,Ecosystem,Flashloan Reentrancy Attack,8500000,Avalanche,FALSE,DeFi Protocol,222634,944,Solidity,https://twitter.com/CertiKAlert/status/1626318821840629763,,,,,,
RocketSwap Base,8/15/23,Infrastructure,Private Key Compromised (Brute Force),865000,Base,FALSE,DeFi Protocol,,3314,Solidity,https://twitter.com/Cointelegraph/status/1691316548932456448,,,,,,
Zoth ZeUSD,3/21/25,Infrastructure,Private Key Compromised (Unknown Method),8850000,Ethereum,FALSE,DeFi Protocol,,5615,Solidity,https://x.com/PeckShieldAlert/status/1903029531558154725,parent#zoth,,,,,
Flow,12/27/25,Protocol Logic,mint-and-dump Hack,3900000,Flow,FALSE,Layer 1,,6104,Solidity,https://x.com/flow_blockchain/status/2005021612714668518,,,,,,
Levyathan,7/30/21,Infrastructure,Private Key Compromised (Stored Publicly),1500000,BSC,FALSE,DeFi Protocol,,,Solidity,https://rekt.news/levyathan-rekt/,,ChainSec,,0.15,Levyathan,2021-07-30
Cetus CLMM,5/22/25,Protocol Logic,Spoof Token Exploit,223000000,Sui,FALSE,DeFi Protocol,,2289,Move,https://www.coindesk.com/markets/2025/05/22/sui-networks-cetus-protocol-hit-in-apparent-hack-sending-token-prices-down-90,parent#cetus,,,,,
Uranium Finance,4/28/21,Protocol Logic,Math Mistake Exploit,57200000,BSC,FALSE,DeFi Protocol,,,Solidity,https://rekt.news/uranium-rekt/,,ChainSec,,50000000.0,Uranium Finance,2021-04-28
Cypher,8/7/23,,Unknown,1035000,Solana,FALSE,DeFi Protocol,,2575,,https://twitter.com/cypher_protocol/status/1688641036476731393,,,,,,
WOO X,7/24/25,Ecosystem,Social Engineering,14000000,"Bitcoin,Ethereum,Arbitrum,BSC",FALSE,CEX,,2346,,https://x.com/BlockscopeCo/status/1948793062076940512,,,,,,
ChainSwap,11/7/21,Protocol Logic,Exploit Weak Authentication Check,4400000,"Ethereum,BSC",TRUE,DeFi Protocol,,,Solidity,https://chain-swap.medium.com/chainswap-exploit-11-july-2021-post-mortem-6e4e346e5a32,,,,,,
1inch,10/31/24,Ecosystem,Private Key Compromised (Supply Chain Attack),720000,Avalanche,FALSE,DeFi Protocol,,189,,https://x.com/1inch/status/1851832307746742686,,,,,,
Dolomite,3/20/24,Protocol Logic,Acces Control Exploit,1800000,Ethereum,FALSE,DeFi Protocol,,,Solidity,https://www.cryptotimes.io/2024/03/21/hacker-exploits-flaw-in-dolomite-project/,,,,,,
CoinStats,7/12/24,Infrastructure,Private Key Compromised (Unknown Method),2200000,,FALSE,Other,,,,https://x.com/CoinStats/status/1811706273395622063,,,,,,
DogWifTools,1/28/25,Infrastructure,Private Key Compromised (Malware),10000000,Solana,FALSE,Other,,,Move,https://x.com/kookcapitalllc/status/1884285558635323437,,,,,,
Harmony Bridge,6/23/22,Infrastructure,Private Key Compromised (Unknown Method),100000000,"Ethereum,BSC",TRUE,DeFi Protocol,,,Solidity,https://rekt.news/harmony-rekt/,,,,,,
BTC24H,12/16/24,Protocol Logic,Acces Control Exploit,85700,Polygon,FALSE,DeFi Protocol,,,,https://x.com/0xCommitAudits/status/1871550202508951917,,,,,,
Vee Finance,9/21/21,Ecosystem,Flashloan Price Oracle Attack,34000000,Avalanche,FALSE,DeFi Protocol,,619,Solidity,https://veefi.medium.com/vee-finance-attack-analysis-a4839724e085,,ChainSec,,35000000.0,Vee Finance,2021-09-21
Uwerx,8/2/23,Ecosystem,Flashloan Pool Shares Exploit,327000,Ethereum,FALSE,Other,,,,https://twitter.com/CertiKAlert/status/1686667720920625152,,,,,,
WazirX: India,7/18/24,Infrastructure,Safe Multisig wallet Phishing Exploit,234900000,Ethereum,FALSE,CEX,,,,https://x.com/CyversAlerts/status/1813834131165286464,,,,,,
GDAC,4/8/23,Infrastructure,Hot wallet hack,13900000,,FALSE,CEX,,,,https://twitter.com/MetaSleuth/status/1645692516401033216,,,,,,
YOLO Games,6/11/24,Protocol Logic,Access Control Exploit,1500000,Blast,FALSE,DeFi Protocol,,,Solidity,https://x.com/shoucccc/status/1800353122159833195,,,,,,
Snowdog,11/25/21,Rugpull,Drained Contracts,18100000,Avalanche,FALSE,DeFi Protocol,,859,Solidity,https://rekt.news/snowdog-rekt/,,,,,,
Swaprum,5/19/23,Rugpull,Drained Contracts,3000000,Arbitrum,FALSE,DeFi Protocol,,2903,,https://www.dlnews.com/articles/defi/defi-protocol-swaprum-in-3m-rug-pull-was-certik-audited/?utm_campaign=,,,,,,
Hacken Token,6/20/25,Infrastructure,Private Key Compromised,250000,,FALSE,Other,,,Solidity,https://x.com/peckshieldalert/status/1936198957119774979,,,,,,
Gym Network,6/8/22,Protocol Logic,Deposit Function Exploit,2100000,BSC,FALSE,DeFi Protocol,,,Solidity,https://rekt.news/gymnet-rekt/,,,,,,
